;GV_CURBWGT;GV_DVLAT;GV_DVLONG;GV_ENERGY;GV_LANES;GV_MODELYR;GV_OTVEHWGT;GV_SPLIMIT;GV_WGTCDTR;OA_AGE;OA_BAGDEPLY;OA_HEIGHT;OA_MAIS;OA_MANUSE;OA_SEX;OA_WEIGHT;VE_GAD1;VE_ORIGAVTW;VE_WHEELBAS;VE_PDOF_TR;GV_FOOTPRINT
GV_CURBWGT;0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
GV_DVLAT;1;0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
GV_DVLONG;1;1;0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
GV_ENERGY;1;1;1;0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
GV_LANES;1;1;1;1;0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
GV_MODELYR;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
GV_OTVEHWGT;1;1;1;1;1;1;0;1;1;1;1;1;1;1;1;1;1;1;1;1;1
GV_SPLIMIT;1;1;1;1;1;1;1;0;1;1;1;1;1;1;1;1;1;1;1;1;1
GV_WGTCDTR;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
OA_AGE;1;1;1;1;1;1;1;1;1;0;1;1;1;1;1;1;1;1;1;1;1
OA_BAGDEPLY;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
OA_HEIGHT;1;1;1;1;1;1;1;1;1;1;1;0;1;1;1;1;1;1;1;1;1
OA_MAIS;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
OA_MANUSE;1;1;1;1;1;1;1;1;1;1;1;1;1;0;1;1;1;1;1;1;1
OA_SEX;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
OA_WEIGHT;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;1;1;1;1;1
VE_GAD1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
VE_ORIGAVTW;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;1;1;1
VE_WHEELBAS;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;1;1
VE_PDOF_TR;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;1
GV_FOOTPRINT;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0
